gene	con_1	con_2	con_3	con_4
exon_skip_1	0.86	0.86	0.84	0.84
exon_skip_392	0.89	0.82	0.94	0.85
exon_skip_2	0.46	0.31	0.53	0.36
exon_skip_3	0.14	0.19	0.12	0.23
exon_skip_4	0.72	0.51	0.67	0.57
exon_skip_5	0.39	0.68	0.44	0.82
exon_skip_6	0.87	0.72	0.80	0.76
exon_skip_7	0.20	0.36	0.27	0.40
exon_skip_393	0.90	0.89	0.91	0.81
exon_skip_8	0.74	0.59	0.84	0.63
exon_skip_394	0.13	0.04	0.11	0.12
exon_skip_395	0.46	0.48	0.39	0.62
exon_skip_465	0.64	0.75	0.58	0.71
exon_skip_9	0.95	0.95	0.96	0.94
exon_skip_510	0.92	0.89	0.84	0.81
exon_skip_10	0.51	0.35	0.47	0.44
exon_skip_11	0.27	0.23	0.23	0.30
exon_skip_466	0.42	0.61	0.71	0.53
exon_skip_12	0.01	0.01	0.01	0.02
exon_skip_13	0.77	0.87	0.75	0.91
exon_skip_14	0.43	0.50	0.28	0.22
exon_skip_15	0.38	0.31	0.39	0.27
exon_skip_16	0.26	0.33	0.32	0.24
exon_skip_17	0.82	0.57	0.90	0.53
exon_skip_511	0.56	0.53	0.53	0.62
exon_skip_18	0.18	0.12	0.29	0.11
exon_skip_396	0.06	0.08	0.06	0.14
exon_skip_19	0.35	0.15	0.30	0.36
exon_skip_20	0.62	0.81	0.73	0.71
exon_skip_21	0.13	0.30	0.19	0.42
exon_skip_22	0.79	0.79	0.76	0.73
exon_skip_467	0.44	0.47	0.48	0.31
exon_skip_23	0.21	0.33	0.25	0.31
exon_skip_24	0.48	0.67	0.47	0.76
exon_skip_468	0.90	0.81	0.87	0.77
exon_skip_25	0.45	0.55	0.53	0.64
exon_skip_512	0.08	0.03	0.09	0.04
exon_skip_26	0.90	0.87	0.73	0.75
exon_skip_397	0.93	0.82	0.91	0.84
exon_skip_469	0.84	0.90	0.85	0.88
exon_skip_398	0.97	0.89	0.88	0.89
exon_skip_27	0.40	0.61	0.56	0.59
exon_skip_28	0.80	0.63	0.83	0.71
exon_skip_399	0.56	0.33	0.55	0.28
exon_skip_29	0.12	0.16	0.11	0.26
exon_skip_30	0.71	0.64	0.82	0.56
exon_skip_31	0.87	0.75	0.93	0.79
exon_skip_400	0.99	0.94	0.99	0.96
exon_skip_32	0.90	0.93	0.88	0.90
exon_skip_33	0.39	0.16	0.39	0.20
exon_skip_34	0.43	0.56	0.59	0.64
exon_skip_35	0.05	0.06	0.05	0.04
exon_skip_36	0.05	0.05	0.02	0.08
exon_skip_37	0.48	0.39	0.40	0.41
exon_skip_38	0.17	0.17	0.21	0.24
exon_skip_39	0.55	0.45	0.53	0.57
exon_skip_40	0.22	0.35	0.29	0.30
exon_skip_41	0.59	0.75	0.73	0.56
exon_skip_42	0.52	0.39	0.37	0.46
exon_skip_401	0.93	0.88	0.90	0.87
exon_skip_43	0.63	0.73	0.65	0.76
exon_skip_44	0.37	0.40	0.43	0.36
exon_skip_45	0.59	0.77	0.67	0.69
exon_skip_46	0.84	0.85	0.87	0.87
exon_skip_402	0.50	0.64	0.40	0.55
exon_skip_47	0.05	0.04	0.04	0.06
exon_skip_48	0.49	0.59	0.41	0.62
exon_skip_403	0.38	0.28	0.26	0.29
exon_skip_404	0.55	0.35	0.41	0.56
exon_skip_49	0.37	0.46	0.33	0.29
exon_skip_50	0.61	0.48	0.75	0.50
exon_skip_51	0.96	0.95	0.97	0.89
exon_skip_405	0.36	0.23	0.31	0.30
exon_skip_52	0.48	0.49	0.58	0.38
exon_skip_406	0.46	0.47	0.50	0.47
exon_skip_53	0.72	0.83	0.74	0.76
exon_skip_470	0.97	0.94	0.96	0.91
exon_skip_407	0.44	0.14	0.41	0.09
exon_skip_408	0.89	0.84	0.89	0.90
exon_skip_54	0.32	0.03	0.23	0.05
exon_skip_55	0.29	0.20	0.20	0.20
