gene	PTBP1_1	PTBP1_2	FUS_1	FUS_2	U2AF2_1	U2AF2_2	PCBP1_1	PCBP1_2	SRSF1_1	SRSF1_2	HNRNPC_1	HNRNPC_2	HNRNPA1_1	HNRNPA1_2	HNRNPL_1	HNRNPL_2
exon_skip_1	0.86	0.76	0.88	0.93	0.53	0.37	0.88	0.88	0.91	0.93	0.77	0.79	0.78	0.84	0.72	0.80
exon_skip_392	0.91	0.94	0.91	0.90	0.61	0.50	0.83	0.89	0.93	0.92	0.90	0.97	0.96	0.91	0.89	0.93
exon_skip_2	0.71	0.66	0.71	0.70	0.26	0.20	0.39	0.26	0.27	0.48	0.68	0.63	0.34	0.65	0.40	0.37
exon_skip_3	0.07	0.10	0.35	0.29	0.26	0.29	0.06	0.11	0.22	0.15	0.30	0.33	0.21	0.27	0.18	0.08
exon_skip_4	0.69	0.50	0.78	0.83	0.15	0.12	0.60	0.59	0.41	0.59	0.61	0.80	0.59	0.70	0.58	0.58
exon_skip_5	0.08	0.14	0.42	0.36	0.26	0.32	0.33	0.29	0.78	0.67	0.67	0.58	0.65	0.69	0.35	0.38
exon_skip_6	0.86	0.78	0.88	0.88	0.68	0.93	0.75	0.74	0.90	0.92	0.92	0.93	0.94	0.96	0.90	0.93
exon_skip_7	0.15	0.13	0.36	0.35	0.07	0.08	0.23	0.30	0.14	0.18	0.06	0.10	0.09	0.10	0.17	0.16
exon_skip_393	0.80	0.72	0.90	0.83	0.52	0.55	0.94	0.93	0.98	0.95	0.70	0.66	0.79	0.93	0.83	0.84
exon_skip_8	0.29	0.32	0.69	0.65	0.89	0.90	0.87	0.90	0.77	0.79	0.87	0.89	0.54	0.63	0.52	0.48
exon_skip_394	0.13	0.12	0.18	0.15	0.03	0.04	0.07	0.06	0.03	0.07	0.16	0.17	0.13	0.21	0.24	0.22
exon_skip_395	0.40	0.33	0.78	0.64	0.42	0.18	0.49	0.55	0.92	0.91	0.82	0.89	0.68	0.67	nan	0.52
exon_skip_465	0.78	0.72	0.67	0.77	0.29	0.40	0.38	0.62	0.92	0.72	0.72	0.73	0.68	0.38	nan	0.55
exon_skip_9	0.86	0.90	0.97	0.95	0.71	0.85	0.86	0.84	0.93	0.92	0.87	0.85	0.92	0.92	0.95	0.97
exon_skip_510	0.91	0.95	0.93	0.88	0.72	0.76	0.71	0.81	0.87	0.87	0.71	0.87	0.80	0.95	0.83	0.85
exon_skip_10	0.22	0.21	0.56	0.59	0.03	0.29	0.48	0.47	0.44	0.50	0.16	0.16	0.59	0.26	0.49	0.41
exon_skip_11	0.06	0.04	0.16	0.26	0.09	0.25	0.21	0.22	0.18	0.21	0.08	0.13	0.17	0.11	0.14	0.26
exon_skip_466	0.96	0.86	0.87	0.79	0.35	0.30	0.33	0.15	0.62	0.57	0.35	0.33	0.48	0.63	0.72	0.65
exon_skip_12	0.04	0.07	0.04	0.02	0.01	0.02	0.02	0.02	0.30	0.31	0.01	0.01	0.03	0.02	0.02	0.03
