tf	gene	link
PTBP1	exon_skip_1	1
HNRNPA1	exon_skip_1	1
SRSF1	exon_skip_1	1
HNRNPL	exon_skip_1	1
FUS	exon_skip_1	1
U2AF2	exon_skip_1	1
HNRNPC	exon_skip_1	1
HNRNPC	exon_skip_2	1
U2AF2	exon_skip_2	1
HNRNPA1	exon_skip_2	1
SRSF1	exon_skip_2	1
PTBP1	exon_skip_2	1
FUS	exon_skip_3	1
PTBP1	exon_skip_3	1
HNRNPL	exon_skip_3	1
HNRNPC	exon_skip_3	1
U2AF2	exon_skip_3	1
HNRNPA1	exon_skip_3	1
SRSF1	exon_skip_3	1
PCBP1	exon_skip_3	1
HNRNPC	exon_skip_4	1
HNRNPA1	exon_skip_4	1
FUS	exon_skip_4	1
U2AF2	exon_skip_4	1
PTBP1	exon_skip_4	1
HNRNPL	exon_skip_4	1
SRSF1	exon_skip_4	1
HNRNPA1	exon_skip_5	1
HNRNPC	exon_skip_5	1
U2AF2	exon_skip_5	1
PTBP1	exon_skip_5	1
HNRNPL	exon_skip_5	1
FUS	exon_skip_5	1
SRSF1	exon_skip_5	1
PTBP1	exon_skip_6	1
HNRNPA1	exon_skip_6	1
U2AF2	exon_skip_6	1
HNRNPC	exon_skip_6	1
SRSF1	exon_skip_6	1
FUS	exon_skip_6	1
FUS	exon_skip_7	1
HNRNPC	exon_skip_7	1
SRSF1	exon_skip_7	1
HNRNPA1	exon_skip_7	1
PTBP1	exon_skip_7	1
HNRNPL	exon_skip_7	1
U2AF2	exon_skip_7	1
PCBP1	exon_skip_7	1
HNRNPC	exon_skip_8	1
PTBP1	exon_skip_8	1
FUS	exon_skip_8	1
PCBP1	exon_skip_8	1
HNRNPA1	exon_skip_8	1
HNRNPL	exon_skip_8	1
SRSF1	exon_skip_8	1
U2AF2	exon_skip_8	1
HNRNPC	exon_skip_9	1
U2AF2	exon_skip_9	1
PTBP1	exon_skip_9	1
HNRNPL	exon_skip_9	1
HNRNPA1	exon_skip_9	1
FUS	exon_skip_9	1
SRSF1	exon_skip_9	1
PTBP1	exon_skip_10	1
SRSF1	exon_skip_10	1
HNRNPC	exon_skip_10	1
HNRNPA1	exon_skip_10	1
FUS	exon_skip_10	1
HNRNPL	exon_skip_10	1
U2AF2	exon_skip_10	1
HNRNPL	exon_skip_11	1
SRSF1	exon_skip_11	1
HNRNPA1	exon_skip_11	1
U2AF2	exon_skip_11	1
FUS	exon_skip_11	1
HNRNPC	exon_skip_11	1
PTBP1	exon_skip_11	1
PTBP1	exon_skip_12	1
HNRNPC	exon_skip_12	1
U2AF2	exon_skip_12	1
SRSF1	exon_skip_12	1
FUS	exon_skip_12	1
U2AF2	exon_skip_13	1
HNRNPL	exon_skip_13	1
PCBP1	exon_skip_13	1
HNRNPC	exon_skip_13	1
HNRNPA1	exon_skip_13	1
FUS	exon_skip_13	1
SRSF1	exon_skip_13	1
PTBP1	exon_skip_13	1
HNRNPL	exon_skip_14	1
FUS	exon_skip_14	1
PTBP1	exon_skip_14	1
HNRNPA1	exon_skip_14	1
SRSF1	exon_skip_14	1
HNRNPC	exon_skip_14	1
U2AF2	exon_skip_14	1
HNRNPL	exon_skip_15	1
SRSF1	exon_skip_15	1
HNRNPA1	exon_skip_15	1
U2AF2	exon_skip_15	1
PTBP1	exon_skip_15	1
FUS	exon_skip_15	1
HNRNPA1	exon_skip_16	1
FUS	exon_skip_16	1
PTBP1	exon_skip_16	1
SRSF1	exon_skip_16	1
U2AF2	exon_skip_16	1
HNRNPL	exon_skip_16	1
U2AF2	exon_skip_17	1
HNRNPC	exon_skip_17	1
PCBP1	exon_skip_17	1
SRSF1	exon_skip_17	1
HNRNPA1	exon_skip_17	1
HNRNPL	exon_skip_17	1
FUS	exon_skip_17	1
PTBP1	exon_skip_17	1
SRSF1	exon_skip_18	1
HNRNPC	exon_skip_18	1
HNRNPA1	exon_skip_18	1
FUS	exon_skip_18	1
PTBP1	exon_skip_18	1
PTBP1	exon_skip_19	1
FUS	exon_skip_19	1
HNRNPA1	exon_skip_19	1
HNRNPL	exon_skip_19	1
HNRNPC	exon_skip_19	1
SRSF1	exon_skip_19	1
U2AF2	exon_skip_19	1
HNRNPA1	exon_skip_20	1
PTBP1	exon_skip_20	1
HNRNPL	exon_skip_20	1
U2AF2	exon_skip_20	1
HNRNPC	exon_skip_20	1
FUS	exon_skip_20	1
HNRNPL	exon_skip_21	1
U2AF2	exon_skip_21	1
HNRNPC	exon_skip_21	1
HNRNPA1	exon_skip_21	1
PTBP1	exon_skip_21	1
HNRNPA1	exon_skip_22	1
HNRNPC	exon_skip_22	1
SRSF1	exon_skip_22	1
PTBP1	exon_skip_22	1
HNRNPL	exon_skip_22	1
U2AF2	exon_skip_22	1
FUS	exon_skip_22	1
FUS	exon_skip_23	1
HNRNPC	exon_skip_23	1
HNRNPL	exon_skip_23	1
PTBP1	exon_skip_23	1
HNRNPA1	exon_skip_23	1
SRSF1	exon_skip_23	1
U2AF2	exon_skip_23	1
FUS	exon_skip_24	1
HNRNPC	exon_skip_24	1
HNRNPA1	exon_skip_24	1
HNRNPL	exon_skip_24	1
PTBP1	exon_skip_24	1
U2AF2	exon_skip_24	1
FUS	exon_skip_25	1
U2AF2	exon_skip_25	1
HNRNPL	exon_skip_25	1
PTBP1	exon_skip_25	1
HNRNPA1	exon_skip_25	1
HNRNPC	exon_skip_25	1
FUS	exon_skip_26	1
U2AF2	exon_skip_26	1
HNRNPC	exon_skip_26	1
PTBP1	exon_skip_26	1
HNRNPL	exon_skip_26	1
HNRNPA1	exon_skip_26	1
PCBP1	exon_skip_26	1
SRSF1	exon_skip_26	1
U2AF2	exon_skip_27	1
HNRNPL	exon_skip_27	1
HNRNPC	exon_skip_27	1
FUS	exon_skip_27	1
PTBP1	exon_skip_27	1
HNRNPA1	exon_skip_27	1
HNRNPC	exon_skip_28	1
PTBP1	exon_skip_28	1
HNRNPA1	exon_skip_28	1
HNRNPL	exon_skip_28	1
U2AF2	exon_skip_28	1
HNRNPC	exon_skip_29	1
HNRNPA1	exon_skip_29	1
FUS	exon_skip_29	1
SRSF1	exon_skip_29	1
PTBP1	exon_skip_29	1
U2AF2	exon_skip_29	1
HNRNPL	exon_skip_29	1
HNRNPL	exon_skip_30	1
U2AF2	exon_skip_30	1
HNRNPC	exon_skip_30	1
SRSF1	exon_skip_30	1
HNRNPA1	exon_skip_30	1
