RBP	ES	ave1	ave2	dpsi	wilcoxon.w	wilcoxon.p	bind
PTBP1	chr1_-_36472517_36472686_36473435_36473622_36473764_36473830	0.855	0.96	-0.1049999999999999	-20.99999999999998	0.0302923443767363	1
PTBP1	chr1_-_53247018_53247056_53249380_53249556_53250690_53250862	0.505	0.235	0.27	26.99999999999997	0.0235677377406828	1
PTBP1	chr1_-_156937249_156937496_156938418_156938513_156939548_156939740	0.97	0.31	0.6599999999999999	33.00000000000006	0.0192856065436487	1
PTBP1	chr10_-_95410633_95410777_95414494_95414862_95421961_95422073	0.08	0.35	-0.2699999999999999	-13.49999999999999	0.047071053322876	1
PTBP1	chr11_+_833009_833022_834530_834591_836063_836153	0.73	0.47	0.26	13.000000000000009	0.0488745039443947	1
PTBP1	chr11_+_7639732_7639870_7641033_7641065_7641479_7641620	0.105	0.0	0.105	21.00000000000001	0.0302923443767362	1
PTBP1	chr11_+_20048728_20049195_20049836_20049901_20051289_20051333	0.91	0.09	0.82	27.333333333333307	0.023280584051376	1
PTBP1	chr11_+_46659422_46659485_46664849_46664959_46665383_46665519	0.245	0.01	0.235	47.000000000000085	0.0135430581681255	1
PTBP1	chr11_+_120407738_120407823_120409394_120409450_120420753_120420851	0.5449999999999999	0.195	0.3499999999999999	34.999999999999964	0.0181841893512968	1
PTBP1	chr11_-_62633445_62633514_62634310_62634375_62634821_62635000	0.2299999999999999	0.08	0.1499999999999999	15.000000000000028	0.0423786092698927	1
PTBP1	chr11_-_96383962_96384761_96386254_96387613_96389844_96389921	0.79	1.0	-0.2099999999999999	-20.99999999999998	0.0302923443767363	1
PTBP1	chr11_-_115178644_115178775_115198406_115198438_115209574_115209657	0.25	0.075	0.175	35.000000000000064	0.0181841893512968	1
PTBP1	chr11_-_119025191_119025329_119025692_119025757_119025967_119026080	0.265	0.0	0.265	52.99999999999996	0.0120102687406743	1
PTBP1	chr12_+_878272_878361_880721_880999_881692_881789	0.54	0.295	0.245	49.00000000000022	0.012990436976749	1
PTBP1	chr12_+_49367475_49367587_49371228_49371290_49460770_49461037	0.67	0.2	0.47	47.0000000000001	0.0135430581681254	1
PTBP1	chr13_-_37009617_37009809_37010552_37010655_37012192_37012297	0.8	0.255	0.545	108.99999999999991	0.0058403845161957	1
PTBP1	chr14_+_39319209_39319291_39320928_39321056_39326864_39327022	0.87	0.635	0.235	46.99999999999996	0.0135430581681255	1
PTBP1	chr14_+_60092186_60092419_60107586_60108327_60114700_60114879	0.685	0.51	0.175	35.000000000000355	0.0181841893512966	1
PTBP1	chr15_+_75012677_75012805_75016593_75016749_75017870_75017925	0.765	0.125	0.64	21.333333333333314	0.0298197239940998	1
PTBP1	chr16_+_24791690_24791817_24793473_24793649_24794544_24794719	0.4549999999999999	0.09	0.365	14.599999999999987	0.0435360984896375	1
PTBP1	chr16_+_30000971_30001040_30001212_30001530_30005221_30005323	0.655	0.395	0.26	26.00000000000005	0.0244733129085088	1
PTBP1	chr16_-_3774569_3774693_3777613_3777657_3778011_3778172	0.39	0.91	-0.5199999999999999	-13.000000000000009	0.0488745039443947	1
PTBP1	chr17_+_4892149_4892234_4892402_4892512_4892656_4892768	0.815	0.975	-0.16	-15.999999999999895	0.0397370486110819	1
PTBP1	chr17_-_76089175_76089320_76091143_76091235_76094414_76094489	0.38	0.02	0.36	17.999999999999982	0.0353314457762693	1
PTBP1	chr17_-_78692417_78692493_78696007_78696009_78698269_78698380	0.77	0.36	0.41	20.499999999999982	0.0310300262857031	1
PTBP1	chr18_-_6244567_6244588_6263947_6264038_6301903_6301957	0.71	0.85	-0.14	-13.99999999999999	0.0453957419997208	1
PTBP1	chr19_+_10683917_10683970_10687346_10687708_10688550_10688678	0.8200000000000001	0.96	-0.1399999999999999	-14.00000000000006	0.0453957419997206	1
PTBP1	chr19_+_48954929_48954962_48955548_48955833_48956198_48956316	0.79	0.92	-0.13	-12.99999999999999	0.0488745039443948	1
PTBP1	chr19_-_56824262_56824427_56826388_56826463_56836018_56836078	0.5549999999999999	0.285	0.2699999999999999	13.500000000000044	0.0470710533228758	1
PTBP1	chr2_+_227347226_227347384_227350936_227352573_227355677_227355761	0.225	0.01	0.215	14.333333333333336	0.0443434788714419	1
PTBP1	chr2_-_54987491_54987698_55028164_55028220_55049745_55050544	0.145	0.02	0.125	24.99999999999998	0.0254512226959836	1
PTBP1	chr2_-_96605320_96605511_96606970_96607047_96608508_96608664	0.18	0.0	0.18	18.000000000000007	0.0353314457762692	1
PTBP1	chr2_-_147975902_147975975_147981928_147982081_148020633_148020724	0.005	0.14	-0.135	-26.99999999999998	0.0235677377406828	1
PTBP1	chr2_-_187520542_187520618_187529364_187529485_187554200_187554349	0.265	0.685	-0.42	-21.00000000000001	0.0302923443767362	1
PTBP1	chr2_-_237577257_237577382_237578004_237578155_237585998_237586157	0.885	0.725	0.16	15.99999999999999	0.0397370486110816	1
PTBP1	chr2_-_237590525_237590974_237598837_237601104_237601507_237601614	0.415	0.6	-0.1849999999999999	-36.99999999999976	0.0172017522108664	1
PTBP1	chr20_+_62126340_62126439_62127585_62127701_62129785_62129952	0.58	0.415	0.1649999999999999	33.00000000000014	0.0192856065436486	1
PTBP1	chr20_+_62126340_62126439_62127585_62129032_62129785_62129952	0.265	0.0	0.265	52.99999999999996	0.0120102687406743	1
PTBP1	chr20_-_35738968_35739017_35740525_35740597_35740824_35740837	0.6	0.715	-0.1149999999999999	-22.99999999999998	0.0276616991333239	1
PTBP1	chr22_+_45323175_45323427_45327842_45328063_45330603_45330719	0.76	0.865	-0.1049999999999999	-20.99999999999998	0.0302923443767363	1
PTBP1	chr22_-_36233402_36233455_36236596_36237363_36239441_36239527	0.025	0.255	-0.23	-22.999999999999982	0.0276616991333239	1
PTBP1	chr3_+_13481382_13481394_13483464_13483564_13496736_13496748	0.98	0.855	0.125	24.99999999999998	0.0254512226959836	1
PTBP1	chr3_+_50099982_50100051_50100532_50100605_50103083_50103166	0.6950000000000001	0.895	-0.1999999999999999	-20.000000000000096	0.0318045025123525	1
PTBP1	chr3_+_186617187_186617350_186618291_186618641_186619857_186619940	0.175	0.025	0.15	7642862007030928.0	8.329599197027672e-17	1
PTBP1	chr3_-_8627698_8627783_8629642_8629726_8630805_8630929	0.44	0.235	0.205	40.999999999999964	0.0155242336366264	1
PTBP1	chr3_-_8627698_8627783_8629664_8629726_8630805_8630929	0.895	0.75	0.145	28.99999999999998	0.0219437112320219	1
PTBP1	chr3_-_157153042_157153156_157157011_157157083_157158866_157158951	0.385	0.275	0.1099999999999999	7926335344172074.0	8.031703741069485e-17	1
PTBP1	chr3_-_167720205_167720273_167725401_167725473_167734806_167734832	0.35	0.125	0.2249999999999999	44.999999999999964	0.0141447780006301	1
PTBP1	chr4_-_82359516_82359639_82371528_82371584_82373446_82373486	0.735	0.54	0.1949999999999999	38.99999999999996	0.0163200079376202	1
PTBP1	chr6_+_70773389_70773425_70791689_70791769_70798657_70798737	0.785	0.01	0.775	51.66666666666662	0.0123201347528881	1
PTBP1	chr6_+_142381951_142382019_142383760_142383843_142390258_142390343	0.72	0.215	0.505	14.428571428571416	0.0440517191428458	1
PTBP1	chr6_-_85536792_85536924_85538838_85538864_85541985_85542043	0.535	0.15	0.385	76.99999999999993	0.0082673244765412	1
PTBP1	chr6_-_130869563_130870126_130878104_130880206_130885096_130885268	0.395	0.245	0.15	14.99999999999999	0.0423786092698928	1
PTBP1	chr6_-_136261301_136261477_136267029_136267175_136268162_136268273	0.775	0.94	-0.1649999999999999	-33.000000000000334	0.0192856065436485	1
PTBP1	chr6_-_136268162_136268339_136269141_136269303_136269437_136269520	0.035	0.205	-0.17	-8661910274635050.0	7.349646350318536e-17	1
PTBP1	chr7_+_134960533_134960628_134962820_134962934_134965306_134965386	0.1699999999999999	0.0	0.1699999999999999	17.000000000000007	0.0374051184825533	1
PTBP1	chr7_-_26193251_26193373_26193599_26193694_26195847_26195909	0.5549999999999999	0.77	-0.215	-42.99999999999949	0.0148024428207739	1
PTBP1	chr7_-_100077303_100077433_100079540_100079656_100081635_100081703	0.205	0.38	-0.175	-35.000000000000064	0.0181841893512968	1
