ENCFF486ADH_PTBP1	ENCFF983TGB_PTBP1	ENCFF138XJC_FUS	ENCFF169XEG_FUS	ENCFF020XNK_U2AF2	ENCFF298TSM_U2AF2	ENCFF703PUD_PCBP1	ENCFF793CAH_PCBP1	ENCFF714YYN_SRSF1	ENCFF801DDP_SRSF1	ENCFF078KLK_HNRNPC	ENCFF682EBX_HNRNPC	ENCFF196EOX_HNRNPA1	ENCFF786LGW_HNRNPA1	ENCFF758ALR_HNRNPL	ENCFF888EAZ_HNRNPL
chr1_+_6785552_6785575_6820181_6820250_6825092_6825210	0.76	0.86	0.93	0.88	0.53	0.37	0.88	0.88	0.91	0.93	0.79	0.77	0.84	0.78	0.8	0.72
chr1_+_7962767_7962875_7965324_7965425_7969345_7969404	0.99	1	0.99	0.99	0.99	1	1	0.99	1	0.99	1	1	0.99	0.99	1	1
chr1_+_9567284_9567361_9570258_9570358_9573346_9573412	0.94	0.91	0.9	0.91	0.61	0.5	0.83	0.89	0.93	0.92	0.97	0.9	0.91	0.96	0.93	0.89
chr1_+_11828106_11828219_11828458_11828624_11829196_11829299	0.98	0.97	0.56	0.55	0.18	0.1	0.12	0.09	0.73	0.74	0.61	0.68	0.68	0.64	0.88	0.67
chr1_+_11980446_11980484_11981970_11982114_11989165_11989234	0.72	0.74	0.89	0.87	0.93	0.81	0.8	0.83	0.82	0.72	0.98	0.97	0.89	0.79	0.8	0.89
chr1_+_15719734_15719920_15721329_15721388_15725317_15725545	0.66	0.71	0.7	0.71	0.26	0.2	0.39	0.26	0.27	0.48	0.63	0.68	0.65	0.34	0.37	0.4
chr1_+_16367265_16367308_16391375_16391424_16393228_16393355	0.29	0.25	0.49	0.43	0.48	0.56	0.24	0.29	0.29	0.24	0.53	0.59	0.37	0.27	0.26	0.17
chr1_+_16367265_16367308_16391375_16391424_16393231_16393482	0.1	0.07	0.29	0.35	0.26	0.29	0.06	0.11	0.22	0.15	0.33	0.3	0.27	0.21	0.08	0.18
chr1_+_17632321_17632466_17634548_17634562_17634835_17635016	0.67	0.74	0.45	0.31	0.07	0.1	0.56	0.62	0.77	0.74	0.11	0.12	0.57	0.69	0.27	0.23
chr1_+_23030469_23030634_23044427_23044486_23050387_23050520	0.32	0.35	0.44	0.4	0.33	0.33	0.34	0.44	0.34	0.23	0.25	0.2	0.42	0.33	0.26	0.32
chr1_+_23693811_23693913_23694660_23694791_23695798_23695908	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
chr1_+_23792657_23792760_23793008_23793039_23793151_23793216	0.97	1	0.99	0.96	0.99	1	0.99	1	0.99	0.98	0.97	0.95	0.96	0.99	0.98	0.97
chr1_+_24646667_24646789_24647079_24647208_24648859_24648887	0.09	0.13	0.15	0.16	0.03	0.03	0.15	0.12	0.1	0.11	0.02	0.05	0.15	0.04	0.15	0.06
chr1_+_24652928_24653032_24654306_24654343_24654855_24655123	0.03	0.04	0.07	0.03	0.02	0.01	0	0	0.02	0.08	0.04	0	0.09	0.05	0.04	0.06
chr1_+_24662660_24662804_24663183_24663224_24666815_24666845	0.5	0.69	0.83	0.78	0.15	0.12	0.6	0.59	0.41	0.59	0.8	0.61	0.7	0.59	0.58	0.58
chr1_+_25351626_25351693_25352882_25352974_25356793_25356853	1	0.99	0.96	0.97	0.98	0.72	1	0.98	0.96	0.94	0.99	1	0.94	0.97	0.93	0.99
