tf	gene	link
PTBP1	chr1_+_6040517_6040645_6041831_6041872_6072755_6072788	1
PTBP1	chr1_+_7962767_7962875_7965324_7965425_7969345_7969404	1
PTBP1	chr1_+_11828106_11828219_11828458_11828624_11829196_11829299	1
PTBP1	chr1_+_11828106_11828219_11828458_11828624_11829196_11829299	1
PTBP1	chr1_+_11980446_11980484_11981810_11982114_11989165_11989234	1
PTBP1	chr1_+_11980446_11980484_11981970_11982114_11989165_11989234	1
PTBP1	chr1_+_11980446_11980484_11981974_11982114_11989165_11989234	1
PTBP1	chr1_+_13749361_13749487_13769118_13769173_13773078_13773188	1
PTBP1	chr1_+_17638562_17638689_17639238_17639981_17640202_17640302	1
PTBP1	chr1_+_17638562_17638689_17639238_17639981_17640202_17640302	1
PTBP1	chr1_+_17640202_17640302_17648554_17648675_17654636_17654665	1
PTBP1	chr1_+_23693811_23693913_23694660_23694791_23695798_23695908	1
PTBP1	chr1_+_23693811_23693913_23694660_23694791_23695798_23695908	1
PTBP1	chr1_+_24646667_24646789_24647079_24647208_24648859_24648887	1
PTBP1	chr1_+_28272581_28272793_28273358_28273508_28274040_28274158	1
PTBP1	chr1_+_28459085_28459258_28460212_28460292_28465685_28465849	1
PTBP1	chr1_+_28738259_28738338_28742403_28743986_28768929_28769125	1
PTBP1	chr1_+_28738259_28738338_28742403_28743986_28768929_28769125	1
PTBP1	chr1_+_29064982_29065158_29097807_29097935_29109336_29109346	1
PTBP1	chr1_+_32033188_32033334_32036910_32037043_32037835_32038036	1
PTBP1	chr1_+_32292161_32292218_32302621_32302733_32316665_32316782	1
PTBP1	chr1_+_38998171_38998311_39000972_39001106_39003347_39003418	1
PTBP1	chr1_+_39380244_39380373_39381953_39382152_39385434_39385929	1
PTBP1	chr1_+_39463612_39463686_39465095_39465112_39468615_39468732	1
PTBP1	chr1_+_42693490_42693523_42696199_42696288_42696642_42696944	1
PTBP1	chr1_+_43603416_43603533_43603611_43604189_43604903_43605000	1
PTBP1	chr1_+_43838219_43838311_43858135_43858308_43894383_43894477	1
PTBP1	chr1_+_45013136_45013215_45013292_45013354_45013594_45013703	1
PTBP1	chr1_+_45591223_45591270_45602255_45602365_45604936_45604965	1
PTBP1	chr1_+_45606517_45606591_45607321_45608337_45613169_45613248	1
PTBP1	chr1_+_45606517_45606591_45607321_45608337_45613169_45613248	1
PTBP1	chr1_+_45606517_45606591_45607321_45608337_45613169_45613248	1
PTBP1	chr1_+_45606517_45606591_45607321_45608337_45613169_45613248	1
PTBP1	chr1_+_45606517_45606591_45607321_45608337_45613169_45613248	1
PTBP1	chr1_+_45616337_45616393_45616626_45616703_45617463_45617591	1
PTBP1	chr1_+_45616701_45616703_45617463_45617591_45618061_45618213	1
PTBP1	chr1_+_45616701_45616703_45617463_45617591_45618061_45618213	1
PTBP1	chr1_+_45616701_45616703_45617463_45617591_45618061_45618213	1
PTBP1	chr1_+_47372955_47373107_47374909_47374985_47375197_47375293	1
PTBP1	chr1_+_48224724_48224795_48227816_48227846_48228850_48228954	1
PTBP1	chr1_+_48231545_48231625_48231946_48232151_48232367_48232502	1
PTBP1	chr1_+_53027978_53028071_53038917_53039046_53047858_53047937	1
PTBP1	chr1_+_66940028_66940052_66946150_66946295_66958059_66958220	1
PTBP1	chr1_+_70205724_70205780_70221615_70221839_70228422_70228555	1
PTBP1	chr1_+_70205724_70205780_70221615_70221839_70228422_70228555	1
